Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITIONS_M_1;AI;1;3
FILLERS_M_1;AI;1;4

MIXER_I_1;AI;2;1

DCEMENT_OPEN_1;DO;3;1
DWATER_OPEN_1;DO;3;2
DADDITIONS_OPEN_1;DO;3;3
FILLER_OPEN_1;DO;3;4
FILLER_OPEN_2;DO;3;5
FILLER_OPEN_3;DO;3;6
FILLER_OPEN_4;DO;3;7
MIXER_OPEN_1;DO;3;8

WATER_OPEN_1;DO;4;1
CONVEYOR_ON_1;DO;4;2
TCONVEYOR_ON_1;DO;4;3
AUGER_ON_1;DO;4;4
APUMP_ON_1;DO;4;5
MIXER_ON_1;DO;4;6
TCONVEYOR_ON_2;DO;4;7
VIBRATOR_ON_1_;DO;4;8

VIBRATOR_ON_2;DO;5;1
DF_VIBRATOR_ON_1;DO;5;2
S_VIBRATOR_ON_1;DO;5;3
TOPPING_ON_1;DO;5;4
VIBRATOR_ON_1;DO;5;5
HEARTBEAT;DO;5;8

DCEMENT_CLOSED_1;DI;6;1
DWATER_CLOSED_1;DI;6;2
DADDITIONS_CLOSED_1;DI;6;3
AUGER_ISON_1;DI;6;4
WATER_CLOSED_1;DI;6;5
APUMP_ISON_1;DI;6;6
FILLER_CLOSED_1;DI;6;7
FILLER_CLOSED_2;DI;6;8

FILLER_CLOSED_3;DI;7;1
FILLER_CLOSED_4;DI;7;2
MIXER_ISON_1;DI;7;3
MIXER_CLOSED_1;DI;7;4
MIXER_OPENED_1;DI;7;5
CONVEYOR_ISON_1;DI;7;6
TCONVEYOR_ISON_1;DI;7;7
TCONVEYOR_ISON_2;DI;7;8

ROPE_FAIL_1;DI;8;1
UNLOAD_ENABLED_1;DI;8;2
MANUAL_UNLOAD_1;DI;8;3
WATER_Q_1;DI;8;4
